rule2_position,model,cases,failed_cases,dice,abs_volume_diff_ml,abs_lesion_count_diff,lesion_f1,pr_auc,rank_dice,rank_abs_volume_diff_ml,rank_abs_lesion_count_diff,rank_lesion_f1,rank_pr_auc,mean_position
14,E1+V14-SWA,284,48,0.5397227209595135,5.665171731333596,1.926056338028169,0.45927109871447724,0.6303138184595576,2.0,12.0,22.5,15.0,4.0,11.1
15,PP-rescue,284,43,0.5330389485452288,5.658280521582102,1.8345070422535212,0.4559720095623597,0.6291954520630821,16.0,7.0,8.0,17.0,10.5,11.7
16,E1+V9,284,46,0.5298989939183646,5.816452239022523,1.8274647887323943,0.4618569409538549,0.6256957986143844,19.0,18.0,6.0,10.0,16.0,13.8
17,E1+E2,284,43,0.5303137309789719,5.751791048348948,1.9190140845070423,0.45931609912009336,0.6225047894965118,18.0,16.0,21.0,14.0,18.0,17.4
18,V12-e300,284,39,0.5345400869487544,6.278062572120996,1.926056338028169,0.45937888512589803,0.6212514379811707,11.0,26.0,22.5,13.0,19.0,18.3
19,V12-e400,284,41,0.5337383804305145,5.765101564578901,1.897887323943662,0.4493879656736467,0.6148825512210031,14.0,17.0,18.5,22.0,21.0,18.5
20,E1+V14-SWA+V15-SWA,284,41,0.5337639385086766,6.136351608999588,2.1056338028169015,0.4429774390190189,0.6309807414308592,13.0,23.0,29.0,25.0,3.0,18.6
21,V12-e350,284,47,0.5280575542240973,5.704735464184331,1.908450704225352,0.44881291996012046,0.6143050006172927,21.0,13.0,20.0,23.0,22.0,19.8
22,E2,284,42,0.5266574759757822,5.957631403026874,1.8767605633802817,0.452607244279725,0.6114277766001766,24.0,20.0,14.0,19.0,24.0,20.2
23,V9-e400,284,42,0.5261718857290951,6.06353198197732,1.8485915492957747,0.45582989003927166,0.6079181458273315,26.0,21.0,11.0,18.0,26.0,20.4
24,PP-t045,284,37,0.5383811520619665,6.680981521121512,2.2746478873239435,0.439615804080147,0.6291954520630821,3.0,33.0,32.0,26.0,10.5,20.9
25,V9-e300,284,42,0.5258898919640758,6.114379792562649,1.897887323943662,0.4468906648410529,0.6114854872249742,27.0,22.0,18.5,24.0,23.0,22.9
26,V7-e400,284,39,0.5263704824637598,6.183532603538047,2.0704225352112675,0.45052633086061983,0.6032312209552104,25.0,24.0,27.0,20.0,27.0,24.6
27,V2-e200,284,43,0.5217128999235074,6.47998400481119,1.9647887323943662,0.4273197743711098,0.6086762676783206,31.0,29.0,24.0,29.0,25.0,27.6
28,V15-e300,284,41,0.5185128360876542,5.842458972631249,2.0985915492957745,0.4344885948697389,0.5926007759011017,33.0,19.0,28.0,27.0,31.0,27.6
29,V14-SWA,284,40,0.5267983216966,6.670878665531323,2.306338028169014,0.42747764939339306,0.5962880503408275,23.0,32.0,33.0,28.0,29.0,29.0
30,V8-e250,284,54,0.4808837348242853,6.579756466623404,1.880281690140845,0.42283969597557003,0.5731583339143672,34.0,30.0,16.0,32.0,34.0,29.2
31,V1,284,37,0.5205288135699567,6.187948731853832,2.045774647887324,0.4213410846030592,0.5951587568863158,32.0,25.0,26.0,34.0,30.0,29.4
32,V14-e250,284,38,0.5255045808627955,6.451263404351958,2.3204225352112675,0.42557640239833266,0.5985726918204096,29.0,28.0,34.0,30.0,28.0,29.8
33,V15-e250,284,39,0.5256613993846212,6.307397762966528,2.2359154929577465,0.42226499261817474,0.5910567073927127,28.0,27.0,31.0,33.0,33.0,30.4
34,V15-SWA,284,38,0.5238234619592133,6.627148895120575,2.2183098591549295,0.42485522864549485,0.5915438863724285,30.0,31.0,30.0,31.0,32.0,30.8
